term,definition
消融,"一种用于评估 特征 或组件重要性的技术，方法是将相应特征或组件暂时从 模型 中 移除 。然后，您可以在不使用该特征或组件的情况下重新训练模型，如果重新训练后的模型性能明显下降，则表明移除的特征或组件可能很重要。

例如，假设您使用 10 个特征训练了一个 分类模型 ，并在 测试集 上实现了 88% 的 精确率 。如需检查第一个特征的 重要性 ，您可以仅使用其他 9 个特征重新训练模型。如果重新训练后的模型性能明显下降（例如，精确率为 55%），则表明移除的特征可能很重要。反之，如果重新训练后的模型表现同样出色，则表明该特征可能并不那么重要。

消融还可以帮助确定以下各项的重要性：

较大的组件，例如大型机器学习系统的整个子系统 流程或技术，例如数据预处理步骤

在这两种情况下，您都可以观察到在移除组件后，系统的性能会发生怎样的变化（或不发生变化）。"
A/B 测试,"一种比较两种（或更多）技术（即 A 和 B ）的统计方法。通常， A 是一种现有技术，而 B 是一种新技术。
A/B 测试不仅可以确定哪种技术的效果更好，还可以确定这种差异是否具有统计显著性。

A/B 测试通常会比较两种技术在单个 指标 上的表现；例如，两种技术在模型 准确率 方面的比较结果如何？不过，A/B 测试也可以比较任意有限数量的指标。"
加速器条状标签,"一类专门的硬件组件，旨在执行深度学习算法所需的主要计算。

与通用 CPU 相比，加速器芯片（简称 加速器 ）可以显著提高训练和推理任务的速度和效率。它们非常适合训练神经网络和执行类似的计算密集型任务。

加速器芯片的示例包括：

Google 的张量处理单元 ( TPU )，具有专用于深度学习的硬件。 NVIDIA 的 GPU 虽然最初是为图形处理而设计的，但旨在实现并行处理，从而显著提高处理速度。"
准确性,"正确的分类 预测 数量除以预测总数。具体来说：

例如，如果某个模型做出了 40 次正确预测和 10 次错误预测，那么其准确率为：

二元分类 为不同类别的 正确预测 和 错误预测 提供了具体名称。因此，二元分类的准确率公式如下：

其中：

TP 是 真正例 （正确预测）的数量。 TN 是 真负例 （正确预测）的数量。 FP 是 假正例 （不正确的预测）的数量。 FN 是 假负例 （不正确的预测）的数量。

比较和对比准确率与 精确率 和 召回率 。

如需了解详情，请参阅机器学习速成课程中的 分类：准确率、召回率、精确率和相关指标 。"
action,在 强化学习 中， 智能体 在 环境 的 状态 之间转换的机制。智能体使用 政策 选择操作。
激活函数,"一种函数，可使 神经网络 能够学习特征与标签之间的 非线性 （复杂）关系。

常用的激活函数包括：

ReLU Sigmoid

激活函数的图从不是单条直线。
例如，ReLU 激活函数的图由两条直线组成：

Sigmoid 激活函数的图如下所示：

如需了解详情，请参阅机器学习速成课程中的 神经网络：激活函数 。"
主动学习,一种 训练 方法，采用这种方法时，算法会 选择 从中学习规律的部分数据。当 有标签样本 稀缺或获取成本高昂时，主动学习尤其有用。主动学习算法会选择性地寻找学习所需的特定范围的样本，而不是盲目地寻找各种各样的有标签样本。
AdaGrad,一种先进的梯度下降法，用于重新调整每个 形参 的梯度，以便有效地为每个形参指定独立的 学习速率 。如需查看完整说明，请参阅 用于在线学习和随机优化的自适应次梯度方法 。
改编,与调优或 微调 的含义相同。
代理,"能够对多模态用户输入进行推理，以便代表用户规划和执行操作的软件。

在 强化学习 中，智能体是使用 策略 来最大限度提高从 环境 的 状态 转换中获得的预期 回报 的实体。"
